time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pcx,Pcy,Pcz,Vcx,Vcy,Vcz,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,Pf0ry,Pf1ry,Pf2ry,Pf3ry,Pf0cy,Pf1cy,Pf2cy,Pf3cy,ux,uy
5.492000,2.262332,6.077111,0.593700,-1.680513,1.084227,0.000000,2.569778,0.600000,1.748514,5.919015,0.450000,-1.668387,1.096186,-0.474186,1.913666,5.911130,0.452954,-1.758540,1.242843,-0.161305,0.401545,0.401545,-0.395456,-0.395456,0.348421,0.216342,-0.579390,-0.446853,0.235000,-0.235000,0.235000,-0.235000,0.240245,-0.213788,0.307222,-0.274742,0.388125,0.220668
5.504000,2.242119,6.090049,0.593700,-1.688270,1.072094,0.000000,2.576978,0.600000,1.728481,5.932147,0.450000,-1.670573,1.092427,-0.498186,1.892906,5.925835,0.448838,-1.678032,1.199186,-0.174730,0.401545,0.401545,-0.395456,-0.395456,0.345042,0.219001,-0.564666,-0.455269,0.234994,-0.234994,0.234994,-0.234994,0.239631,-0.209998,0.289861,-0.270591,0.400493,0.224781
5.516000,2.221814,6.102841,0.593700,-1.695979,1.059960,0.000000,2.584178,0.600000,1.708420,5.945233,0.450000,-1.672869,1.088634,-0.500000,1.873391,5.940001,0.446907,-1.589110,1.182245,-0.041212,0.401545,0.401545,-0.395456,-0.395456,0.341180,0.242191,-0.535882,-0.459726,0.234988,-0.234988,0.234988,-0.234988,0.238597,-0.205663,0.267491,-0.266902,0.434383,0.227753
5.528000,2.201417,6.115489,0.593700,-1.703380,1.048067,0.000000,2.591378,0.600000,1.688330,5.958272,0.450000,-1.675409,1.084525,-0.500000,1.854063,5.953089,0.447940,-1.591502,1.131694,0.186630,0.401545,0.401545,-0.395456,-0.395456,0.338004,0.278353,-0.505950,-0.460681,0.234983,-0.234983,0.234983,-0.234983,0.238468,-0.204092,0.241973,-0.263106,0.482420,0.233142
5.540000,2.180930,6.127990,0.593700,-1.711234,1.035193,0.000000,2.598573,0.600000,1.668210,5.971260,0.450000,-1.678546,1.079347,-0.500000,1.835205,5.966871,0.450917,-1.574781,1.176453,0.257666,0.401545,0.401545,-0.395456,-0.395456,0.336121,0.315256,-0.483768,-0.459140,0.234978,-0.234978,0.234978,-0.234978,0.244784,-0.202602,0.223421,-0.253599,0.517492,0.234327
5.552000,2.160349,6.140334,0.593700,-1.718834,1.022384,0.000000,2.605748,0.600000,1.648015,5.984129,0.450000,-1.688495,1.063404,-0.500000,1.816350,5.980996,0.452986,-1.604251,1.197608,0.233457,0.401545,0.401545,-0.395456,-0.395456,0.336169,0.347344,-0.471904,-0.457542,0.234973,-0.234973,0.234973,-0.234973,0.249580,-0.208851,0.205723,-0.245545,0.529062,0.230978
5.564000,2.139679,6.152528,0.593700,-1.726164,1.009896,0.000000,2.612901,0.600000,1.627677,5.996768,0.450000,-1.701158,1.043013,-0.500000,1.796916,5.995516,0.456102,-1.644431,1.239045,0.255878,0.401545,0.401545,-0.395456,-0.395456,0.337919,0.373550,-0.469461,-0.456207,0.234968,-0.234968,0.234968,-0.234968,0.254321,-0.216557,0.190708,-0.237409,0.527243,0.217957
5.576000,2.118922,6.164573,0.593700,-1.733270,0.997753,0.000000,2.620050,0.600000,1.607188,6.009161,0.450000,-1.713729,1.022566,-0.500000,1.776364,6.010762,0.459646,-1.706446,1.263916,0.205684,0.401545,0.401545,-0.395456,-0.395456,0.340335,0.393512,-0.473160,-0.456417,0.234963,-0.234963,0.234963,-0.234963,0.258918,-0.223390,0.177380,-0.229494,0.519933,0.204046
5.588000,2.098080,6.176471,0.593700,-1.740433,0.985139,0.000000,2.627199,0.600000,1.586558,6.021324,0.450000,-1.723922,1.005589,-0.482683,1.754897,6.026075,0.460181,-1.765875,1.290552,0.058928,0.401545,0.401545,-0.395456,-0.395456,0.342258,0.408386,-0.473328,-0.457530,0.234977,-0.234977,0.234977,-0.234977,0.264218,-0.225800,0.167688,-0.219426,0.512986,0.191482
5.600000,2.077152,6.188216,0.593700,-1.747525,0.972378,0.000000,2.634349,0.600000,1.565818,6.033300,0.450000,-1.732697,0.990517,-0.458683,1.734278,6.041657,0.459841,-1.727679,1.288532,-0.021864,0.401545,0.401545,-0.395456,-0.395456,0.344128,0.421448,-0.462122,-0.458887,0.235024,-0.235024,0.235024,-0.235024,0.268897,-0.223452,0.159116,-0.209828,0.509101,0.182155
5.612000,2.056140,6.199807,0.593700,-1.754693,0.959299,0.000000,2.641500,0.600000,1.544976,6.045100,0.450000,-1.740891,0.976075,-0.434683,1.714266,6.056895,0.459228,-1.689481,1.283906,-0.024750,0.401545,0.401545,-0.395456,-0.395456,0.347113,0.433608,-0.446905,-0.459555,0.235102,-0.235102,0.235102,-0.235102,0.272359,-0.219251,0.156330,-0.200771,0.509626,0.175986
