time,bodyPosX_ref,bodyPosX_cur,bodyPosY_ref,bodyPosY_cur,bodyPosZ_ref,bodyPosZ_cur
0.614000,0.000000,-0.006617,-0.000000,0.001436,0.593700,0.574813
0.616000,0.000000,-0.006639,-0.000000,0.001426,0.593700,0.574779
0.618000,0.000000,-0.006661,-0.000000,0.001416,0.593700,0.574741
0.620000,0.000000,-0.006682,-0.000000,0.001406,0.593700,0.574701
0.622000,0.000000,-0.006703,-0.000000,0.001396,0.593700,0.574658
0.624000,0.000000,-0.006724,-0.000000,0.001386,0.593700,0.574613
0.626000,0.000000,-0.006743,-0.000000,0.001376,0.593700,0.574565
0.628000,0.000000,-0.006763,-0.000000,0.001365,0.593700,0.574515
0.630000,0.000000,-0.006782,-0.000000,0.001355,0.593700,0.574463
0.632000,0.000000,-0.006800,-0.000000,0.001344,0.593700,0.574409
0.634000,0.000000,-0.006818,-0.000000,0.001333,0.593700,0.574353
0.636000,0.000000,-0.006836,-0.000000,0.001323,0.593700,0.574295
0.638000,0.000000,-0.006853,-0.000000,0.001312,0.593700,0.574236
0.640000,0.000000,-0.006870,-0.000000,0.001301,0.593700,0.574175
0.642000,0.000000,-0.006886,-0.000000,0.001290,0.593700,0.574113
0.644000,0.000000,-0.006902,-0.000000,0.001279,0.593700,0.574049
0.646000,0.000000,-0.006917,-0.000000,0.001268,0.593700,0.573985
0.648000,0.000000,-0.006932,-0.000000,0.001257,0.593700,0.573920
0.650000,0.000000,-0.006947,-0.000000,0.001246,0.593700,0.573854
0.652000,0.000000,-0.006961,-0.000000,0.001234,0.593700,0.573787
0.654000,0.000000,-0.006975,-0.000000,0.001223,0.593700,0.573720
0.656000,0.000000,-0.006988,-0.000000,0.001212,0.593700,0.573652
0.658000,0.000000,-0.007002,-0.000000,0.001200,0.593700,0.573584
0.660000,0.000000,-0.007014,-0.000000,0.001189,0.593700,0.573516
0.662000,0.000000,-0.007027,-0.000000,0.001177,0.593700,0.573448
0.664000,0.000000,-0.007039,-0.000000,0.001166,0.593700,0.573381
0.666000,0.000000,-0.007039,-0.000000,0.001105,0.593700,0.573314
