time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pcx,Pcy,Pcz,Vcx,Vcy,Vcz,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,Pf0ry,Pf1ry,Pf2ry,Pf3ry,Pf0cy,Pf1cy,Pf2cy,Pf3cy,ux,uy
1.222000,0.437970,0.003760,0.593700,1.999241,0.055102,0.000000,0.028129,0.600000,0.092701,0.002421,0.588419,0.834437,0.031868,-0.136058,0.046220,-0.007590,0.598221,0.587358,0.000184,-0.019263,0.406921,0.406921,-0.400832,-0.400832,0.393973,0.424364,-0.368874,-0.402830,0.234832,-0.234832,0.234832,-0.234832,0.222567,-0.225237,0.253491,-0.240150,0.387684,0.154625
1.232000,0.457961,0.004340,0.593700,1.999071,0.060937,0.000000,0.031072,0.600000,0.101245,0.002758,0.586959,0.874374,0.035482,-0.156058,0.052403,-0.007519,0.597711,0.642665,0.027446,-0.055120,0.407258,0.407258,-0.401169,-0.401169,0.396349,0.421424,-0.371706,-0.402471,0.234832,-0.234832,0.234832,-0.234832,0.222130,-0.225344,0.253635,-0.238837,0.389516,0.154836
1.242000,0.477951,0.004979,0.593700,1.998877,0.067021,0.000000,0.034141,0.600000,0.110189,0.003132,0.585298,0.914297,0.039404,-0.176058,0.059134,-0.007181,0.597156,0.692871,0.053984,-0.075185,0.407604,0.407604,-0.401515,-0.401515,0.398539,0.416491,-0.376699,-0.402709,0.234832,-0.234832,0.234832,-0.234832,0.221493,-0.225422,0.253450,-0.237602,0.393705,0.155512
1.252000,0.497939,0.005681,0.593700,1.998654,0.073366,0.000000,0.037342,0.600000,0.119531,0.003547,0.583437,0.954204,0.043660,-0.196058,0.066340,-0.006595,0.596263,0.738276,0.077161,-0.084820,0.407953,0.407953,-0.401864,-0.401864,0.400400,0.410030,-0.383381,-0.403624,0.234832,-0.234832,0.234832,-0.234832,0.220668,-0.225154,0.253071,-0.236484,0.400397,0.156688
1.262000,0.517924,0.006448,0.593700,1.998400,0.079979,0.000000,0.040679,0.600000,0.129273,0.004006,0.581377,0.994093,0.048267,-0.216058,0.073949,-0.005788,0.595354,0.771003,0.097551,-0.091850,0.408300,0.408300,-0.402211,-0.402211,0.402036,0.402792,-0.391025,-0.404713,0.234832,-0.234832,0.234832,-0.234832,0.219612,-0.224240,0.252600,-0.235494,0.409320,0.158306
1.272000,0.537907,0.007282,0.593700,1.998113,0.086867,0.000000,0.044153,0.600000,0.139413,0.004514,0.579116,1.033944,0.053270,-0.236058,0.081873,-0.004790,0.594362,0.799085,0.115529,-0.086692,0.408635,0.408635,-0.402545,-0.402545,0.403443,0.395543,-0.399063,-0.405889,0.234832,-0.234832,0.234832,-0.234832,0.218340,-0.222298,0.252001,-0.234677,0.419033,0.160217
1.282000,0.557886,0.008186,0.593700,1.997788,0.094031,0.000000,0.047767,0.600000,0.149945,0.005073,0.576656,1.072071,0.058615,-0.256058,0.090068,-0.003615,0.593413,0.822311,0.132242,-0.080235,0.408942,0.408942,-0.402852,-0.402852,0.404736,0.388919,-0.406952,-0.406883,0.234832,-0.234832,0.234832,-0.234832,0.216783,-0.219177,0.251367,-0.234030,0.425500,0.162206
1.292000,0.577862,0.009163,0.593700,1.997424,0.101477,0.000000,0.051523,0.600000,0.160851,0.005687,0.573995,1.108980,0.064327,-0.276058,0.098503,-0.002277,0.592573,0.846263,0.147976,-0.074228,0.409195,0.409195,-0.403106,-0.403106,0.406152,0.383321,-0.414527,-0.407725,0.234832,-0.234832,0.234832,-0.234832,0.214955,-0.214663,0.250642,-0.233597,0.433939,0.163961
1.302000,0.597835,0.010216,0.593700,1.997016,0.109206,0.000000,0.055422,0.600000,0.172125,0.006361,0.571135,1.146071,0.070439,-0.296058,0.107193,-0.000793,0.591848,0.869641,0.161494,-0.061169,0.409384,0.409384,-0.403294,-0.403294,0.407648,0.378825,-0.421777,-0.408387,0.234832,-0.234832,0.234832,-0.234832,0.212796,-0.208810,0.249904,-0.233357,0.443316,0.165054
1.312000,0.617803,0.011348,0.593700,1.996562,0.117226,0.000000,0.059468,0.600000,0.183775,0.007098,0.568093,1.184046,0.076990,-0.310045,0.116124,0.000817,0.591267,0.894121,0.172447,-0.052161,0.409511,0.409511,-0.403421,-0.403421,0.409198,0.375507,-0.428691,-0.408990,0.234832,-0.234832,0.234832,-0.234832,0.210264,-0.201749,0.249061,-0.233376,0.452550,0.165106
